Avenue Jean Dubrucq,Jean Dubrucqlaan,M
Avenue Jean et Pierre Carsoel,Jean en Pierre Carsoellaan,M
Avenue Jean Jaurès,Jean Jaureslaan,M
Avenue Jean Josée,Jean Joséelaan,M
Avenue Jean Joseph Crocq,Jean Joseph Crocqlaan,M
Avenue Jean Laudy,Jean Laudylaan,M
Avenue Jean Monnet,Jean Monnetlaan,M
Avenue Jean Palfyn,Jan Palfynlaan,M
Avenue Jean Roch Collon,Jean Roch Collonlaan,M
Avenue Jean Sebastien Bach,Johann Sebastian Bachlaan,M
Avenue Jean Sibélius,Jean Sibéliuslaan,M
Avenue Jean Sobieski,Jan Sobieskilaan,M
Avenue Jean Van Horenbeeck,Jean Van Horenbeecklaan,M
Avenue Jean Vanhaelen,Jean Vanhaelenlaan,M
Avenue Jean Volders,Jean Volderslaan,M
Avenue Jean-Baptiste Depaire,Jean-Baptiste Depairelaan,M
Avenue Jean-François Debecker,Jean-François Debeckerlaan,M
Avenue Jean-François Leemans,Jean-François Leemanslaan,M
Avenue Jeanne,Johannalaan,F
Avenue Jef Lambeaux,Jef Lambeauxlaan,M
Avenue Jolé,Jolélaan,M
Avenue Joseph Baeck,Joseph Baecklaan,M
Avenue Joseph Borlé,Joseph Borlélaan,M
Avenue Joseph Chaudron,Joseph Chaudronlaan,M
Avenue Joseph De Heyn,Joseph De Heynlaan,M
Avenue Joseph Divoort,Joseph Divoortlaan,M
Avenue Joseph Jean Gossiaux,Joseph Jean Gossiauxlaan,M
Avenue Joseph Jongen,Joseph Jongenlaan,M
Avenue Joseph Lemaire,Joseph Lemairelaan,M
Avenue Joseph Peereboom,Joseph Peereboomlaan,M
Avenue Joseph Rutten,Joseph Ruttenlaan,M
Avenue Joseph Van Genegen,Joseph Van Genegenlaan,M
Avenue Joseph Vandersmissen,Joseph Vandersmissenlaan,M
Avenue Joseph Vanhellemont,Joseph Vanhellemontlaan,M
Avenue Joseph Wybran,Joseph Wybranlaan,M
Avenue Joseph-Jean Gossiaux,Joseph Jean-Gossiauxlaan,M
Avenue Josse Goffin,Josse Goffinlaan,M
Avenue Josse Smets,Josse Smetslaan,M
Avenue Jottrand,Jottrandlaan,M
Avenue Jules Bordet,Jules Bordetlaan,M
Avenue Jules Buyssens,Jules Buyssenslaan,M
Avenue Jules César,Julius Caesarlaan,M
Avenue Jules de Trooz,Jules de Troozlaan,M
Avenue Jules Du Jardin,Jules Du Jardinlaan,M
Avenue Jules Génicot,Jules Génicotlaan,M
Avenue Jules Malou,Jules Maloulaan,M
Avenue Jules Vandeleene,Jules Vandeleenelaan,M
Avenue Julien Hanssens,Julien Hanssenslaan,M
Avenue Konrad Adenauer,Konrad Adenauerlaan,M
Avenue Laënnec,Laënneclaan,M
Avenue Le Marinel,Le Marinellaan,M
Avenue Léo Errera,Léo Erreralaan,M
Avenue Léon Debatty,Léon Debattylaan,M
Avenue Léon Grosjean,Léon Grosjeanlaan,M
Avenue Léon Houyoux,Léon Houyouxlaan,M
Avenue Léon Mahillon,Léon Mahillonlaan,M
Avenue Léon Tombu,Léon Tombulaan,M
Avenue Léonard Mommaerts,Léonard Mommaertslaan,M
Avenue Léopold Florent Lambin,Leopold Florent Lambinlaan,M
Avenue Léopold III,Leopold III laan,M
Avenue Léopold III,Leopold III-laan,M
Avenue Léopold Wiener,Léopold Wienerlaan,M
Avenue Lieutenant Général Pire,Luitenant-Generaal Pirelaan,M
Avenue Livingstone,Livingstonelaan,M
Avenue Lloyd George,Lloyd Georgelaan,M
Avenue Louis Berlaimont,Louis Berlaimontlaan,M
Avenue Louis Bertrand,Louis Bertrandlaan,M
Avenue Louis Ceusters,Louis Ceusterslaan,M
Avenue Louis Clesse,Louis Clesselaan,M
Avenue Louis De Brouckère,Louis De Brouckèrelaan,M
Avenue Louis Dehoux,Louis Dehouxlaan,M
Avenue Louis Fuchs,Louis Fuchslaan,M
Avenue Louis Gribaumont,Louis Gribaumontlaan,M
Avenue Louis Jasmin,Louis Jasminlaan,M
Avenue Louis Lepoutre,Louis Lepoutrelaan,M
Avenue Louis Piérard,Louis Piérardlaan,M
Avenue Louis Thévenet,Louis Thévenetlaan,M
Avenue Louis Van Gorp,Louis Van Gorplaan,M
Avenue Louis Vander Swaelmen,Louis Vander Swaelmenlaan,M
Avenue Louis Vercauteren,Louis Vercauterenlaan,M
Avenue Louise,Louizalaan,F
Avenue Louis-Léopold Vander Swaelmen,Louis-Léopold Vander Swaelmenlaan,M
Avenue Madoux,Madouxlaan,M
Avenue Mahatma Gandhi,Mahatma Gandhilaan,M
Avenue Manoir d'Anjou,Manoir d'Anjoulaan,M
Avenue Marc Henri Van Laer,Marc Henri Van Laerlaan,M
Avenue Marcel Devienne,Marcel Deviennelaan,M
Avenue Marcel Thiry,Marcel Thirylaan,M
Avenue Maréchal Foch,Maarschalk Fochlaan,M
Avenue Maréchal Joffre,Maarschalk Joffrelaan,M
Avenue Maréchal Ney,Maarschalk Neylaan,M
Avenue Marguerite Yourcenar,Marguerite Yourcenarlaan,F
Avenue Marie de Hongrie,Maria van Hongarijelaan,F
Avenue Marie la Misérable,Lenneke Marelaan,F
Avenue Marius Renard,Marius Renardlaan,M
Avenue Marnix,Marnixlaan,M
Avenue Marquis de Villalobar,Markies de Villalobarlaan,M
Avenue Massenet,Massenetlaan,M
Avenue Mathieu De Jonge,Mathieu De Jongelaan,M
